# Seeds Planted,Survivorship Wk5,Average # Flowers,Average Height (mm),Average # Pods,Total Biomass
LOW (2),100,3,307,23,8.3
MED (5),80,2.5,296.25,9.5,9.34
HIGH (10),70,2.25,226,8.857142857,13.26
LOW (2),100,1.5,444.8,3,6.96
MED (5),40,1.4,431.8,5,6.65
HIGH (10),60,2,291.1,6,9.95
LOW (2),100,2.5,508,5,8.6
MED (5),60,1.6,457.2,1.333333333,5.2
HIGH (10),70,1.5,381,3.142857143,9.58
LOW (2),100,1.5,280,10,8.34
MED (5),100,2,306,5.4,8.82
HIGH (10),80,1.9,297.14,1.75,10.43
LOW (2),100,4.5,400,0.5,3.5
MED (5),60,2.6,425,2.666666667,5.5
HIGH (10),40,2,280,3,6.85
LOW (2),100,0.5,310,23,4.9
MED (5),40,1.6,220,19,6.35
HIGH (10),50,1,268.75,12.4,12.3
LOW (2),100,28,335,22,7.81
MED (5),100,11.6,250,8.4,5.29
HIGH (10),90,10.66666667,177.8,8.888888889,44.44
LOW (2),100,8,255,18.5,5.35
MED (5),80,3.5,277.5,11.5,7.29
HIGH (10),70,5.75,243,7.142857143,9.41
LOW (2),100,1.5,320,2.5,4.86
MED (5),60,4.75,250,0,25
HIGH (10),60,6.428571429,230,0.5,23
LOW (2),100,9,275.5,,6.67
MED (5),0,2.25,0,,0
HIGH (10),50,5.142857143,248,2.2,10.34
LOW (2),100,6,385,7.5,6.1
MED (5),80,0.2,330,3.75,8.5
HIGH (10),80,0,249,0.833333333,11.1
LOW (2),100,9.5,342.9,4,5.7
MED (5),100,2.6,308.4,1.6,8.2
HIGH (10),80,1.75,215.9,1,14.4
LOW (2),100,8.5,387.3,1.5,5.7
MED (5),80,4.333333333,225.4,1,12.5
HIGH (10),90,2,233.2,1,13.3
LOW (2),100,14,292,9.5,4.8
MED (5),80,5.25,298,3.25,5.1
HIGH (10),90,1.428571429,241,1.285714286,6.8
LOW (2),100,1.5,260,7,5.33
MED (5),100,0.4,250,7.2,43
HIGH (10),90,1.6,200,3.3,48.9
LOW (2),0,,0,,0
MED (5),80,8.75,250,12.25,13.79
HIGH (10),70,4.444444444,249.28,5.111111111,17.87
LOW (2),100,11.5,295,18,21.25
MED (5),100,2,276,9.8,18.84
HIGH (10),50,4.6,314,11.4,24.57
LOW (2),50,1,300,0,1.98
MED (5),80,4.5,180,5.75,12.83
HIGH (10),80,4.857142857,210.25,8.875,22.49
LOW (2),100,4.5,323,6,5.33
MED (5),80,3.25,318,6,18.56
HIGH (10),80,5.375,338,6.375,37.66
LOW (2),50,0.5,181,0,1.95
MED (5),80,4.25,264,12,15.79
HIGH (10),70,4.428571429,236,6.285714286,16.27
LOW (2),50,12,254,0,13.89
MED (5),20,40,152.4,29,1.53
HIGH (10),80,10.83333333,292.1,1,19.44
LOW (2),100,18.5,231.8,9.5,6.6
MED (5),0,8.4,0,,0
HIGH (10),40,5.666666667,203.2,0,1.89
LOW (2),100,8,310,14,29.26
MED (5),0,,0,,0
HIGH (10),50,11.6,190.5,3,9.36
LOW (2),100,15,21,5,9.34
MED (5),100,2.75,237,3,18.36
HIGH (10),70,6,291,3.166666667,46.51
LOW (2),100,7,404.41,4.5,6.534
MED (5),100,0,268.8,2.4,8.804
HIGH (10),90,0,264.6,2.777777778,9.664
LOW (2),50,1,368.3,0,11.46
MED (5),80,0,351.25,1.5,13.86
HIGH (10),70,0.125,215.7,0.625,18.48
LOW (2),100,0,303.2,0,13.448
MED (5),100,0.4,276,1.6,16.44
HIGH (10),60,0,251,1.428571429,23.386
LOW (2),50,5,365,6,9.32
MED (5),100,2,292.5,1.4,17.162
HIGH (10),100,0.333333333,127.5,1.666666667,20.222
LOW (2),50,12,220,17,4.89
MED (5),100,5.6,204,5.25,11.42
